Country,Year,Agricultural production index (2014-2016=100),"Balance of payments, current account (million US$)",CPI: Consumer Price Index (2010=100),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agriculture (% of employed),Employment in industry (% of employed),Employment in services (% employed),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),GDP: Gross domestic product (million current US$),International trade: balance (million current US$),International trade: exports (million current US$),International trade: imports (million current US$),Unemployment (% of labour force),Labour force participation rate - Female (per 100 pop.),Labour force participation rate - Male (per 100 pop.),Labour force participation rate - Female/Labour force participation rate - Male Ratio,Education: Government expenditure (% of GDP),"Fertility rate, total (live births per woman)",Health: Current expenditure (% of GDP),Health: Physicians (per 1 000 pop.),Intentional homicide rate (per 100 000 pop.),Population growth rate (average annual %),Refugees and others of concern to UNHCR (000),Seats held by women in national parliaments (%),Under five mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Education: Primary gross enrol. ratio - Female (per 100 pop.),Education: Primary gross enrol. ratio - Male (per 100 pop.),Education: Primary gross enrol. ratio - Female/Education: Primary gross enrol. ratio - Male Ratio,Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female/Education: Upper Sec. gross enrol. ratio - Male Ratio,Education: Lower Sec. gross enrol. ratio - Female (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Male (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Female/Education: Lower Sec. gross enrol. ratio - Male Ratio,International migrant stock (000),International migrant stock (% of total pop.),International migrant stock/International migrant stock Ratio,Life expectancy at birth - Female (years),Life expectancy at birth - Male (years),Life expectancy at birth - Female/Life expectancy at birth - Male Ratio,Population age distribution - 0-14 years (%),Population age distribution - 60+ years (%),Population age distribution - 0-14 years/Population age distribution - 60+ years Ratio,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Liechtenstein,2015.0,,,,0.1,43.1,56.8,,,,0.0,167809.2,6269.0,,,,2.6,53.5,70.6,75.77903682719548,2.6,1.4,,,0.0,0.7,0.2,20.0,7.2,14.3,0.5,104.8,106.5,98.4037558685446,110.9,167.5,66.20895522388061,94.1,101.9,92.34543670264964,23.8,63.5,37.480314960629926,84.5,80.8,104.57920792079207,15.0,22.7,66.07929515418502,1.0,88.0,41.9,80.8,96.6,0.64,,,4.0,57.0,0.1,1.4,7.142857142857144,,,,,,
Liechtenstein,2020.0,,,,0.2,41.7,58.1,,,,0.7,165287.2,6406.0,,,,,,,,,1.5,,,2.6,0.8,0.2,12.0,6.7,14.4,,101.4,104.2,97.31285988483685,126.2,167.2,75.47846889952153,98.6,101.9,96.76153091265945,25.9,67.9,38.14432989690721,84.1,80.0,105.125,14.6,25.6,57.03125,1.0,87.0,41.9,80.8,94.3,0.41,,,13.0,58.0,0.0,1.3,0.0,,,,,,
Liechtenstein,2024.0,,,,0.2,43.2,56.6,,,,2.8,197267.7,7758.0,,,,,,,,,1.5,,,5.1,0.7,0.6,28.0,6.4,,,100.8,103.3,97.57986447241046,121.0,160.7,75.29558182949596,99.7,103.1,96.70223084384094,,,,85.4,82.0,104.14634146341464,14.3,28.4,50.352112676056336,1.0,91.0,41.9,80.8,96.8,,,,13.0,101.0,0.1,1.4,7.142857142857144,,,,,,
Lithuania,2015.0,106.0,1014.0,108.0,3.8,29.7,66.5,9.1,25.1,65.9,2.0,13975.1,41419.0,2765.0,25411.0,28176.0,9.1,54.2,64.8,83.64197530864197,4.2,1.7,6.5,4.3,5.8,1.1,4.7,23.4,5.3,67.2,1.1,101.9,102.2,99.706457925636,114.0,119.6,95.31772575250837,102.0,106.0,96.22641509433963,136.0,4.6,2956.521739130435,79.6,69.1,115.19536903039074,14.6,24.8,58.87096774193547,76.0,99.0,34.9,91.5,71.4,0.12,,1.0,22.0,2071.0,10.3,3.5,294.28571428571433,98.8,,,94.4,80.9,116.68726823238566
Lithuania,2020.0,108.0,4161.0,120.0,3.9,27.8,68.3,5.7,25.4,68.9,0.0,20198.4,56965.0,523.0,32790.0,33314.0,8.5,57.1,68.4,83.47953216374269,4.0,1.5,7.5,4.4,3.6,0.1,5.1,24.1,3.2,67.9,,102.8,102.7,100.09737098344694,112.6,117.8,95.58573853989813,105.5,107.5,98.13953488372093,145.2,5.3,2739.622641509434,80.0,70.1,114.12268188302426,15.1,27.1,55.71955719557196,82.0,110.0,35.1,91.8,83.1,0.13,,1.1,41.0,937.0,10.8,3.8,284.21052631578954,99.3,,,97.1,88.2,110.0907029478458
Lithuania,2024.0,100.0,1506.0,164.0,4.4,28.3,67.3,5.5,25.7,68.8,2.4,25773.3,70878.0,5793.0,42626.0,48418.0,6.4,57.1,68.3,83.60175695461201,,1.2,7.5,5.1,2.4,0.5,75.8,29.3,3.8,,,101.3,101.5,99.80295566502463,115.6,121.9,94.8318293683347,105.8,106.7,99.15651358950328,,,,80.8,71.4,113.16526610644257,14.7,27.4,53.64963503649635,90.0,115.0,35.2,91.8,87.7,0.32,,1.1,31.0,2169.0,11.2,4.0,280.0,99.3,,,97.5,90.5,107.73480662983425
Luxembourg,2015.0,102.0,2861.0,109.0,0.2,12.6,87.1,1.0,12.5,86.4,2.3,105455.9,60047.0,6671.0,12626.0,19296.0,6.7,54.6,65.4,83.4862385321101,3.8,1.5,5.1,2.9,0.9,2.3,2.1,28.3,5.1,90.2,2.6,97.6,97.2,100.41152263374484,100.4,94.4,106.35593220338984,114.5,113.6,100.79225352112677,248.9,43.9,566.9703872437358,82.8,79.6,104.02010050251256,16.6,19.3,86.01036269430053,6.0,277.0,34.5,83.7,96.4,0.95,,1.3,9.0,1090.0,8.7,15.4,56.49350649350649,99.8,98.0,101.83673469387755,94.3,86.6,108.89145496535797
Luxembourg,2020.0,114.0,6357.0,116.0,0.2,12.4,87.4,0.8,10.4,88.9,0.9,116909.1,73699.0,7377.0,13506.0,20883.0,6.8,57.0,64.6,88.23529411764707,3.7,1.4,5.7,3.0,0.5,1.4,4.5,30.0,6.5,91.2,,98.6,98.7,99.89868287740627,104.2,98.2,106.10997963340122,112.5,117.8,95.50084889643465,298.1,47.6,626.2605042016806,83.1,79.7,104.26599749058968,16.0,20.1,79.60199004975124,13.0,231.0,34.5,84.7,98.5,1.03,,1.1,16.0,525.0,7.4,11.7,63.24786324786326,99.8,96.5,103.41968911917098,95.8,87.9,108.98748577929464
Luxembourg,2024.0,115.0,5826.0,131.0,0.3,11.4,88.3,1.1,9.1,89.8,1.4,125897.2,81531.0,8871.0,16344.0,25215.0,5.4,57.4,67.0,85.67164179104478,,1.4,5.5,,1.5,1.1,13.3,33.3,3.7,,,98.5,98.4,100.10162601626016,104.6,95.8,109.18580375782881,111.1,118.6,93.67622259696459,,,,83.9,80.7,103.96530359355638,15.8,21.5,73.48837209302326,13.0,239.0,34.5,84.7,99.3,1.09,,1.0,19.0,1013.0,7.8,12.2,63.934426229508205,99.8,96.5,103.41968911917098,96.4,88.5,108.92655367231639
Madagascar,2015.0,99.0,256.0,140.0,27.0,19.9,53.2,74.6,9.2,16.1,3.1,455.6,11323.0,796.0,2164.0,2961.0,1.8,83.3,89.0,93.59550561797752,2.2,4.3,5.0,0.2,,2.6,0.0,20.5,66.4,35.2,4.7,143.4,142.4,100.70224719101124,21.7,22.9,94.75982532751091,49.5,48.3,102.48447204968944,32.1,0.1,32100.0,65.0,61.8,105.1779935275081,42.0,4.7,893.6170212765957,262.0,12.0,21.5,24.6,4.2,,6.19,0.0,965.0,244.0,3.2,0.1,3200.0,33.6,8.6,390.69767441860466,13.3,7.2,184.72222222222223
Madagascar,2020.0,102.0,624.0,130.0,26.7,20.7,52.7,71.7,9.5,18.8,7.1,462.6,13056.0,1201.0,2019.0,3220.0,2.2,82.1,87.2,94.15137614678898,3.2,4.2,3.7,,,2.5,0.3,15.9,66.0,37.9,,132.7,129.8,102.23420647149459,22.0,21.9,100.45662100456623,43.5,40.9,106.35696821515891,35.6,0.1,35600.0,64.6,60.9,106.07553366174056,40.4,5.1,792.1568627450981,331.0,14.0,21.4,26.6,15.8,,10.11,0.0,2910.0,68.0,3.9,0.1,3900.0,39.0,9.3,419.3548387096774,15.5,9.0,172.22222222222223
Madagascar,2024.0,106.0,829.0,163.0,23.5,23.6,50.4,70.1,9.9,20.1,3.8,505.0,14955.0,1534.0,3283.0,4817.0,1.8,82.6,87.8,94.07744874715262,3.2,3.9,3.5,,,2.4,0.4,18.5,64.4,,,140.4,136.1,103.15944158706833,22.9,22.2,103.15315315315314,45.4,42.1,107.83847980997625,,,,65.6,62.1,105.63607085346214,39.3,5.4,727.7777777777777,343.0,14.0,21.3,26.6,20.6,,7.46,,3838.0,8.0,4.4,0.2,2200.0,41.3,9.6,430.2083333333333,16.3,9.7,168.04123711340208
Malawi,2015.0,99.0,1064.0,251.0,26.5,18.4,55.1,65.0,7.5,27.5,8.5,485.0,8216.0,1198.0,1072.0,2270.0,4.9,65.2,74.4,87.63440860215054,5.6,4.4,6.6,0.0,1.8,2.7,22.6,16.7,57.0,16.3,3.9,138.0,138.6,99.56709956709958,20.3,25.3,80.23715415019763,45.5,50.5,90.0990099009901,197.3,1.2,16441.666666666668,65.2,59.4,109.76430976430977,45.4,4.3,1055.8139534883721,69.0,5.0,26.0,70.8,6.0,,17.06,,171.0,805.0,1.0,0.1,1000.0,47.3,7.0,675.7142857142857,32.4,31.5,102.85714285714285
Malawi,2020.0,135.0,1639.0,454.0,26.5,20.2,53.3,62.9,7.9,29.2,0.8,607.4,11769.0,1907.0,771.0,2678.0,5.7,63.2,73.9,85.52097428958051,3.3,3.9,7.0,0.0,,2.6,47.7,22.9,43.7,17.2,,140.1,139.0,100.7913669064748,18.4,21.0,87.6190476190476,37.2,46.6,79.82832618025752,191.4,1.0,19140.0,68.8,61.7,111.50729335494327,43.1,4.0,1077.5,70.0,5.0,23.8,70.8,22.2,,12.13,,130.0,199.0,1.5,0.1,1500.0,50.9,9.2,553.2608695652174,38.7,42.8,90.42056074766356
Malawi,2024.0,143.0,2276.0,774.0,29.4,18.0,52.5,62.1,8.1,29.8,0.9,615.5,12559.0,2175.0,966.0,3141.0,5.0,63.7,74.5,85.503355704698,,3.6,7.4,0.0,,2.6,51.5,20.7,38.2,,,128.6,124.2,103.5426731078905,19.8,21.8,90.82568807339449,43.0,41.0,104.8780487804878,,,,70.8,64.3,110.10886469673406,40.7,4.0,1017.5000000000001,70.0,5.0,23.3,70.8,27.7,,9.5,,158.0,432.0,1.6,0.1,1600.0,52.4,10.2,513.7254901960785,41.2,47.3,87.10359408033827
Malaysia,2015.0,103.0,9068.0,113.0,8.4,38.9,52.7,12.5,27.5,60.0,5.1,9699.6,301355.0,24036.0,200211.0,176175.0,3.1,50.7,78.1,64.9167733674776,4.9,2.0,3.8,1.5,1.6,1.7,272.0,10.4,8.1,74.2,2.7,98.9,98.7,100.20263424518745,87.7,77.0,113.8961038961039,89.0,85.0,104.70588235294119,3280.7,10.8,30376.851851851847,78.0,72.9,106.99588477366255,25.8,9.0,286.6666666666667,3749.0,110.0,59.2,37.0,71.1,,0.0,1.3,1252.0,25721.0,214.0,6.9,3101.449275362319,,,,,,
Malaysia,2020.0,102.0,14138.0,120.0,8.3,36.4,55.4,10.5,27.8,61.7,5.5,10160.8,337339.0,43646.0,234050.0,190405.0,4.5,51.7,78.3,66.02809706257983,3.9,1.7,4.1,2.2,0.8,1.1,188.1,14.4,8.0,76.6,,102.8,101.0,101.78217821782178,77.2,68.6,112.53644314868806,85.2,83.9,101.54946364719903,3476.6,10.7,32491.58878504673,78.8,73.7,106.91994572591588,24.0,10.3,233.00970873786406,3760.0,114.0,58.2,37.0,89.6,,0.0,1.0,1662.0,4333.0,227.3,6.8,3342.6470588235297,,,,,,
Malaysia,2024.0,98.0,12271.0,130.0,9.0,39.6,51.4,10.0,28.1,61.9,8.7,11971.9,406306.0,46968.0,312605.0,265638.0,3.6,51.5,77.7,66.28056628056628,4.3,1.5,4.4,2.3,0.7,1.2,245.2,13.5,6.2,,,97.6,97.9,99.69356486210418,81.9,73.9,110.82543978349119,92.1,91.3,100.87623220153341,,,,79.5,74.4,106.85483870967741,21.8,11.6,187.93103448275863,3904.0,119.0,58.0,37.0,97.4,,0.0,,2210.0,10071.0,241.0,7.2,3347.222222222222,,,,,,
Maldives,2015.0,100.0,302.0,132.0,6.2,12.1,81.7,8.3,23.4,68.3,4.0,9480.4,4130.0,1753.0,144.0,1897.0,6.6,40.0,69.9,57.22460658082975,4.6,2.0,8.7,1.8,0.9,3.6,,5.9,9.7,38.5,3.9,100.9,97.3,103.69989722507708,,,,105.5,101.3,104.14610069101677,64.3,14.1,456.02836879432624,80.1,77.5,103.35483870967741,23.2,5.7,407.01754385964904,0.0,42.0,2.7,0.0,54.5,,0.64,,69.0,1234.0,1.3,3.0,43.333333333333336,,,,,,
Maldives,2020.0,107.0,1327.0,135.0,8.3,13.8,77.9,8.0,24.9,67.0,32.9,7216.8,3713.0,1675.0,163.0,1838.0,5.5,39.3,73.7,53.32428765264585,5.8,1.6,11.3,2.2,0.6,2.8,,4.6,6.8,40.2,,99.6,96.3,103.42679127725856,37.5,27.4,136.86131386861317,94.7,88.9,106.52418447694039,70.1,13.0,539.2307692307692,80.4,77.5,103.74193548387099,21.2,6.3,336.5079365079365,0.0,47.0,2.7,0.0,79.1,,9.06,,80.0,555.0,1.7,3.4,50.0,,,,,,
Maldives,2024.0,94.0,1033.0,143.0,5.6,11.6,82.8,7.3,25.2,67.5,13.9,11780.8,6171.0,3327.0,162.0,3489.0,4.3,42.5,78.2,54.347826086956516,5.0,1.6,10.0,,,0.4,,5.0,5.4,,,,,,,,,,,,,,,83.0,79.9,103.87984981226532,19.6,7.5,261.33333333333337,0.0,54.0,2.7,0.0,83.9,,2.54,,97.0,1675.0,2.0,3.9,51.28205128205129,,,,,,
Mali,2015.0,97.0,698.0,110.0,39.8,19.3,40.9,62.3,8.3,29.5,7.5,723.0,13095.0,1544.0,1850.0,3394.0,1.4,61.2,79.7,76.78795483061481,3.8,6.4,4.1,0.1,,3.1,148.3,9.5,115.8,40.0,5.0,68.0,76.2,89.23884514435694,23.5,33.8,69.52662721893492,45.8,54.0,84.81481481481481,420.5,2.4,17520.833333333336,58.9,56.8,103.69718309859155,48.0,4.1,1170.7317073170734,177.0,12.0,10.9,61.6,10.3,,9.38,0.3,39.0,159.0,3.2,0.2,1600.0,,,,6.9,15.9,43.39622641509434
Mali,2020.0,127.0,380.0,109.0,38.4,23.3,38.2,68.1,9.3,22.6,0.7,822.9,17465.0,1985.0,4567.0,6552.0,3.5,50.6,80.9,62.54635352286774,3.8,5.8,3.5,0.1,,3.1,323.4,9.5,100.1,43.1,,70.6,78.6,89.82188295165395,20.6,25.5,80.7843137254902,43.7,48.3,90.47619047619048,485.8,2.4,20241.666666666668,60.3,57.5,104.8695652173913,47.3,3.8,1244.7368421052631,212.0,14.0,10.9,61.6,28.3,,9.36,0.2,62.0,75.0,5.9,0.3,1966.6666666666667,,,,7.3,20.8,35.09615384615385
Mali,2024.0,132.0,1475.0,127.0,38.6,21.9,39.4,68.0,10.1,21.9,7.2,833.3,18827.0,4177.0,4479.0,8655.0,3.2,52.0,82.2,63.26034063260341,4.4,5.5,4.5,0.2,,2.9,492.8,28.6,92.2,,,69.2,76.0,91.05263157894737,,,,42.8,47.4,90.29535864978902,,,,62.1,59.3,104.72175379426645,46.1,3.7,1245.945945945946,213.0,14.0,10.9,61.6,33.1,,7.74,0.2,73.0,168.0,6.3,0.3,2100.0,,,,7.5,22.9,32.75109170305677
Malta,2015.0,99.0,301.0,108.0,1.0,12.9,79.7,1.5,20.0,78.5,9.6,24282.8,11087.0,2873.0,3915.0,6788.0,5.4,42.8,67.8,63.12684365781711,5.0,1.4,8.9,3.6,0.9,2.4,6.5,12.9,6.8,94.4,0.6,101.6,99.1,102.52270433905146,94.8,86.2,109.97679814385151,102.0,102.9,99.12536443148687,52.6,12.1,434.71074380165294,85.0,80.1,106.11735330836456,14.2,24.8,57.258064516129025,1.0,59.0,1.1,90.6,76.0,0.2,,0.7,31.0,1783.0,1.6,3.6,44.44444444444445,,,,,,
Malta,2020.0,78.0,349.0,114.0,0.8,14.0,84.3,1.1,18.3,80.6,8.1,29596.2,15253.0,2904.0,2832.0,5736.0,4.4,52.0,70.6,73.65439093484419,5.0,1.1,10.7,4.2,1.4,1.4,12.8,13.4,4.6,94.7,,96.3,97.2,99.07407407407408,107.2,100.5,106.66666666666667,100.8,102.9,97.95918367346937,114.8,26.0,441.53846153846155,84.5,80.1,105.49313358302123,13.3,24.5,54.28571428571429,1.0,56.0,1.4,90.9,86.9,,,0.7,49.0,659.0,1.6,3.1,51.61290322580645,,,,,,
Malta,2024.0,76.0,1020.0,129.0,1.0,12.6,85.4,0.8,17.2,82.0,6.9,33942.3,18101.0,4924.0,3467.0,8391.0,2.4,56.9,74.1,76.78812415654521,,1.1,10.6,4.3,0.6,1.2,13.4,27.8,5.5,,,93.6,93.5,100.10695187165774,105.7,103.0,102.62135922330098,99.5,101.9,97.64474975466143,,,,85.4,81.5,104.78527607361966,13.0,26.0,50.0,1.0,56.0,1.4,90.9,91.5,0.28,,0.7,70.0,2287.0,1.6,3.1,51.61290322580645,,,,,,
Marshall Islands,2015.0,90.0,7.0,,12.6,11.4,76.0,11.0,9.4,79.6,2.1,3703.6,183.0,1270.0,463.0,1734.0,4.7,,,,,3.1,15.3,0.5,,2.1,,3.0,35.3,75.8,0.8,109.6,110.1,99.54586739327884,77.3,66.3,116.59125188536954,100.9,91.8,109.91285403050111,3.3,5.7,57.89473684210525,67.6,63.4,106.62460567823344,37.5,5.2,721.1538461538462,0.0,45.0,52.2,10.1,19.3,,23.01,,95.0,6.0,0.1,3.0,3.3333333333333335,,,,,,
Marshall Islands,2020.0,90.0,90.0,,19.8,13.1,67.0,,,,1.8,5568.0,242.0,12910.0,650.0,13560.0,,,,,9.9,3.0,12.6,,,3.1,,6.1,30.6,77.4,,103.5,102.5,100.97560975609755,104.9,90.0,116.55555555555557,150.1,131.9,113.7983320697498,3.3,5.6,58.92857142857143,68.1,63.3,107.58293838862558,34.5,6.3,547.6190476190476,0.0,52.0,52.2,10.1,71.2,,61.44,,104.0,1.0,0.2,3.5,5.714285714285714,,,,,,
Marshall Islands,2024.0,91.0,76.0,,19.0,12.5,68.5,,,,1.5,6727.8,280.0,18344.0,786.0,19130.0,,,,,15.7,2.9,12.5,,,3.4,,12.1,27.2,,,106.5,103.8,102.60115606936418,104.6,91.0,114.94505494505493,148.5,148.0,100.33783783783782,,,,69.5,65.0,106.92307692307692,34.5,7.7,448.05194805194805,0.0,54.0,52.2,10.1,73.2,,35.24,,114.0,0.0,0.2,3.6,5.555555555555556,,,,,,
Martinique,2015.0,,,106.0,,,,3.9,11.8,69.0,,,,,,,22.8,52.6,53.8,97.76951672862454,,2.0,,,,1.0,,,8.5,89.0,0.5,,,,,,,,,,69.2,18.3,378.14207650273227,84.5,79.3,106.55737704918033,18.8,24.3,77.36625514403292,1.0,75.0,48.4,97.2,,,,,45.0,487.0,2.1,5.3,39.62264150943396,,,,,,
Martinique,2020.0,,,109.0,,,,,,,,,,,,,,,,,,2.0,,,,0.9,,,8.7,89.1,,,,,,,,,,,68.6,18.3,374.86338797814204,83.3,77.0,108.18181818181817,15.6,30.3,51.48514851485149,,,49.3,97.2,,,,,62.0,312.0,,,,,,,,,
Martinique,2024.0,,,120.0,,,,,,,,,,,,,,,,,,2.0,,,,0.8,,,7.6,,,,,,,,,,,,,,,85.7,79.5,107.79874213836477,14.9,34.3,43.44023323615161,,,49.5,97.2,,,,,106.0,556.0,,,,,,,,,
Mauritania,2015.0,100.0,956.0,,23.0,25.3,51.7,33.4,17.5,49.2,5.4,1562.7,6167.0,1872.0,1832.0,3703.0,10.1,26.7,59.0,45.25423728813559,2.3,5.2,3.7,0.2,,3.0,77.3,25.2,48.8,51.1,4.8,97.3,95.4,101.9916142557652,19.2,24.2,79.33884297520662,35.2,39.6,88.8888888888889,166.6,4.1,4063.4146341463415,68.6,64.6,106.19195046439629,44.3,5.3,835.8490566037735,30.0,15.0,0.3,11.2,17.6,,5.5,,69.0,,3.0,0.8,375.0,,,,,,
Mauritania,2020.0,108.0,576.0,113.0,21.2,35.0,43.9,34.0,14.4,51.6,0.9,1868.5,8405.0,85.0,2829.0,2744.0,11.2,26.0,56.5,46.017699115044245,1.8,4.9,3.4,0.2,1.0,2.9,91.8,20.3,41.8,54.5,,89.7,83.8,107.04057279236277,30.4,30.5,99.67213114754098,40.2,38.7,103.87596899224806,182.3,3.9,4674.358974358975,68.9,64.8,106.32716049382718,43.8,5.1,858.8235294117646,22.0,20.0,0.3,11.2,41.1,,8.27,0.0,94.0,,4.9,1.1,445.45454545454544,,,,,,
Mauritania,2024.0,117.0,1424.0,135.0,20.3,33.6,46.1,33.0,14.7,52.3,7.1,2322.0,10997.0,2014.0,3331.0,5345.0,10.5,26.4,57.2,46.15384615384615,1.7,4.6,4.1,0.2,,2.8,108.2,23.3,36.6,,,,,,,,,,,,,,,70.7,66.7,105.99700149925037,42.7,5.1,837.2549019607843,22.0,19.0,0.3,11.2,44.4,,5.27,,133.0,,4.6,1.0,459.99999999999994,,,,,,
Mauritius,2015.0,100.0,417.0,120.0,3.5,21.9,74.6,7.5,25.3,67.1,3.7,9285.3,12007.0,1977.0,2481.0,4458.0,7.4,45.8,73.9,61.97564276048714,4.8,1.3,5.6,2.0,1.6,0.0,,11.6,14.2,41.0,0.1,101.4,100.7,100.69513406156902,88.3,78.4,112.62755102040816,108.3,111.7,96.95613249776186,28.6,2.3,1243.4782608695655,77.9,71.6,108.79888268156425,18.9,14.0,135.0,12.0,52.0,19.2,9.6,50.1,,0.62,0.2,249.0,1151.0,4.3,3.3,130.3030303030303,,,,,,
Mauritius,2020.0,80.0,1003.0,133.0,3.6,19.0,77.5,5.3,23.4,71.3,14.6,8784.7,11401.0,2680.0,1544.0,4224.0,8.6,42.6,68.1,62.555066079295166,4.4,1.4,6.5,2.7,2.7,0.2,0.0,20.0,15.8,40.8,,98.7,97.3,101.43884892086332,83.1,75.0,110.79999999999998,110.5,114.3,96.67541557305337,28.9,2.3,1256.5217391304348,78.4,71.3,109.95792426367463,16.4,17.2,95.34883720930232,8.0,44.0,19.4,9.6,67.7,,2.81,0.4,272.0,309.0,3.9,3.0,130.0,,,,,,
Mauritius,2024.0,84.0,654.0,164.0,3.9,21.0,75.1,5.1,21.5,73.4,8.7,9925.8,12898.0,4427.0,1854.0,6282.0,4.2,43.0,68.0,63.23529411764706,4.7,1.2,6.4,1.2,2.2,0.2,0.0,20.0,13.4,,,104.1,101.7,102.35988200589969,,,,109.8,116.2,94.49225473321859,,,,78.3,72.1,108.59916782246879,14.8,19.9,74.37185929648243,8.0,45.0,19.4,9.6,75.5,,2.29,0.3,294.0,997.0,4.1,3.1,132.25806451612902,,,,,,
Mayotte,2015.0,,,,,,,,,,,,,,,,,,,,,4.7,,,,4.1,,,9.8,47.0,2.0,,,,,,,,,,81.4,33.9,240.11799410029502,78.6,75.3,104.38247011952191,45.0,4.2,1071.4285714285713,0.0,20.0,37.8,63.2,,,,,84.0,,0.3,1.3,23.076923076923077,,,,,,
Mayotte,2020.0,,,,,,,,,,,,,,,,,,,,,4.2,,,,3.3,,,12.3,45.9,,,,,,,,,,,111.5,40.9,272.6161369193154,77.2,71.8,107.52089136490251,43.8,4.3,1018.6046511627908,,,37.1,63.6,,,,,102.0,,,,,,,,,,
Mayotte,2024.0,,,,,,,,,,,,,,,,,,,,,4.6,,,,3.2,,,10.9,,,,,,,,,,,,,,,78.5,74.3,105.6527590847914,43.1,4.4,979.5454545454545,,,37.0,76.3,,,,,130.0,,,,,,,,,,
Mexico,2015.0,98.0,31536.0,119.0,3.3,32.8,64.0,14.0,24.0,62.0,2.7,10098.2,1213294.0,14698.0,380556.0,395254.0,4.3,43.8,78.7,55.6543837357052,5.2,2.1,5.7,2.4,17.3,1.0,2.2,38.0,16.2,79.3,1.8,106.6,107.4,99.25512104283052,73.4,71.4,102.80112044817926,135.5,123.6,109.62783171521036,1013.7,0.8,126712.5,76.9,71.9,106.95410292072323,28.0,9.8,285.71428571428567,8031.0,65.0,34.1,36.2,57.4,,0.03,0.4,1109.0,32093.0,454.0,3.8,11947.368421052632,,,,47.4,,
Mexico,2020.0,113.0,26905.0,146.0,4.0,33.1,63.0,13.2,24.1,62.7,8.6,8895.6,1120832.0,34002.0,416982.0,382980.0,4.4,41.5,72.6,57.16253443526171,4.3,2.0,6.2,2.4,29.2,0.7,204.9,48.2,13.8,80.4,,104.5,104.5,100.0,86.5,79.9,108.26032540675845,128.4,115.6,111.0726643598616,1197.6,0.9,133066.66666666666,74.1,66.9,110.762331838565,26.0,11.1,234.23423423423424,6489.0,58.0,33.8,38.1,71.5,,0.08,0.3,1656.0,24824.0,402.8,3.2,12587.5,,,,60.0,,
Mexico,2024.0,117.0,5716.0,176.0,4.1,35.1,60.8,12.6,25.0,62.3,3.9,11476.7,1463324.0,5478.0,592997.0,598475.0,3.0,46.2,77.1,59.922178988326856,,1.9,6.1,2.6,26.1,0.8,856.9,50.4,12.5,,,102.1,101.9,100.1962708537782,83.8,73.2,114.48087431693988,125.9,111.0,113.42342342342342,,,,78.0,72.4,107.73480662983425,24.5,12.2,200.81967213114754,6498.0,59.0,33.7,38.4,78.6,,0.04,0.3,2605.0,38326.0,421.7,3.3,12778.78787878788,,,,65.1,,
Micronesia (Federated States of),2015.0,99.0,22.0,113.0,27.8,6.5,65.7,,,,4.6,2891.3,316.0,164.0,16.0,180.0,,,,,12.4,3.0,12.5,0.7,,0.3,0.0,0.0,30.0,22.5,0.3,91.1,96.8,94.11157024793388,,,,87.1,86.5,100.6936416184971,2.8,2.5,111.99999999999999,68.3,62.5,109.28,34.0,6.9,492.75362318840575,0.0,19.0,91.8,0.0,,,21.7,,163.0,31.0,0.1,1.3,7.6923076923076925,,,,,,
Micronesia (Federated States of),2020.0,119.0,,117.0,23.5,5.2,71.3,,,,1.8,3639.4,408.0,398.0,219.0,617.0,,,,,10.2,2.9,10.8,1.0,0.9,0.9,0.0,0.0,25.2,22.8,,90.5,89.9,100.66740823136817,,,,78.0,73.2,106.55737704918032,2.8,2.5,111.99999999999999,69.7,62.4,111.69871794871796,32.8,8.4,390.4761904761904,0.0,19.0,92.0,0.0,,,37.89,,170.0,18.0,0.1,1.3,7.6923076923076925,,,,,,
Micronesia (Federated States of),2024.0,122.0,,127.0,23.9,5.2,71.0,,,,0.6,3741.1,427.0,504.0,243.0,747.0,,,,,,2.7,11.0,,,0.5,,15.4,22.3,,,91.6,91.4,100.21881838074398,,,,82.3,78.9,104.30925221799745,,,,71.3,63.6,112.1069182389937,31.8,9.3,341.9354838709677,0.0,19.0,92.1,0.0,,,29.38,,197.0,,0.1,1.3,7.6923076923076925,,,,,,
